Old URL,Content Type,Title,Real Authored Content,Matching New URL,URL Changed,Action,Notes
https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures,Blog post,Best Science Books for Kids That Feel Like Real Adventures — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/science-books-for-kids-that-feel-like-adventures/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap,Blog post,From Dog Man to Magic Tree House: The Reading Roadmap — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/dog-man-to-magic-tree-house-reading-roadmap/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry,Blog post,Adventures of Charlotte & Henry Gets a Kirkus GET IT Review — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/kirkus-review-adventures-of-charlotte-and-henry/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man,Blog post,What to Read After Dog Man: Bridge Books for Kids — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/what-to-read-after-dog-man/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds,Blog post,Best Books for 7 Year Olds That Turn Kids Into Readers — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/best-books-for-7-year-olds/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9,Blog post,Best Summer Reading Books for Kids Ages 6–9 — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/best-summer-reading-books-for-kids-ages-6-9/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/books-like-magic-tree-house,Blog post,8 Books Like Magic Tree House Your Kids Will Love Just as Much Page — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/books-like-magic-tree-house/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books,Blog post,The Gap Between Picture Books and Chapter Books Is Real — Here's What Goes There — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/gap-between-picture-books-and-chapter-books/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/why-i-wrote-this-book,Blog post,Charlotte Is Real. Henry Is Real. And This Is Why I Wrote Them a Book. — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/why-i-wrote-this-book/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score,Blog post,I Spent Two Years Picking the Wrong Books. One Number Changed That. — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/finding-right-books-with-lexile-score/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/mount-everest-facts-for-kids,Blog post,10 Mount Everest Facts for Kids That Will Make Their Jaw Drop | Ages 6–9 — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/mount-everest-facts-for-kids/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
https://www.braveheartspublishing.com/blog/bridge-books-for-struggling-readers,Blog post,Bridge Books for Struggling Readers: A Complete Parent Guide | Brave Hearts Publishing — Brave Hearts Publishing,yes,https://www.braveheartspublishing.com/bridge-books-for-struggling-readers/,yes,REDIRECT,"Verified same slug, matching title intent, published WordPress post"
