source_type,source_id,source_url,old_absolute_url,new_relative_url
page,108,https://staging2.braveheartspublishing.com/read-alouds/,https://staging2.braveheartspublishing.com/blog/best-read-aloud-books-for-classroom-grades-1-3,/blog/best-read-aloud-books-for-classroom-grades-1-3
page,108,https://staging2.braveheartspublishing.com/read-alouds/,https://staging2.braveheartspublishing.com/blog/teacher-appreciation-week-thank-you,/blog/teacher-appreciation-week-thank-you
page,108,https://staging2.braveheartspublishing.com/read-alouds/,https://staging2.braveheartspublishing.com/blog/free-teachers-guide-mariana-trench,/blog/free-teachers-guide-mariana-trench
page,108,https://staging2.braveheartspublishing.com/read-alouds/,https://staging2.braveheartspublishing.com/blog/why-stem-storytelling-builds-braver-kids,/blog/why-stem-storytelling-builds-braver-kids
page,107,https://staging2.braveheartspublishing.com/reluctant-readers/,https://staging2.braveheartspublishing.com/blog/how-to-pick-a-read-aloud-book,/blog/how-to-pick-a-read-aloud-book
page,107,https://staging2.braveheartspublishing.com/reluctant-readers/,https://staging2.braveheartspublishing.com/blog/how-stories-build-resilience-in-children,/blog/how-stories-build-resilience-in-children
page,107,https://staging2.braveheartspublishing.com/reluctant-readers/,https://staging2.braveheartspublishing.com/blog/adventure-books-for-kids-ages-6-9,/blog/adventure-books-for-kids-ages-6-9
page,107,https://staging2.braveheartspublishing.com/reluctant-readers/,https://staging2.braveheartspublishing.com/blog/first-real-chapter-book-for-kids,/blog/first-real-chapter-book-for-kids
page,107,https://staging2.braveheartspublishing.com/reluctant-readers/,https://staging2.braveheartspublishing.com/blog/best-early-chapter-books-for-6-year-olds,/blog/best-early-chapter-books-for-6-year-olds
page,106,https://staging2.braveheartspublishing.com/mariana-trench/,https://staging2.braveheartspublishing.com/blog/best-ocean-books-for-kids-ages-6-9,/blog/best-ocean-books-for-kids-ages-6-9
page,106,https://staging2.braveheartspublishing.com/mariana-trench/,https://staging2.braveheartspublishing.com/blog/mariana-trench-facts-for-kids,/blog/mariana-trench-facts-for-kids
page,106,https://staging2.braveheartspublishing.com/mariana-trench/,https://staging2.braveheartspublishing.com/blog/how-deep-is-the-mariana-trench-for-kids,/blog/how-deep-is-the-mariana-trench-for-kids
page,106,https://staging2.braveheartspublishing.com/mariana-trench/,https://staging2.braveheartspublishing.com/blog/what-is-the-mariana-trench-for-kids,/blog/what-is-the-mariana-trench-for-kids
page,105,https://staging2.braveheartspublishing.com/reading-levels/,https://staging2.braveheartspublishing.com/blog/my-child-got-a-lexile-score-now-what,/blog/my-child-got-a-lexile-score-now-what
page,105,https://staging2.braveheartspublishing.com/reading-levels/,https://staging2.braveheartspublishing.com/blog/what-is-a-lexile-score,/blog/what-is-a-lexile-score
page,105,https://staging2.braveheartspublishing.com/reading-levels/,https://staging2.braveheartspublishing.com/blog/reading-level-by-grade-chart,/blog/reading-level-by-grade-chart
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/bridge-books-for-struggling-readers,/blog/bridge-books-for-struggling-readers
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/top-bridge-books-for-kids,/blog/top-bridge-books-for-kids
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/bridge-books-for-kids,/blog/bridge-books-for-kids
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/what-are-bridge-books-guide-for-parents-and-teachers,/blog/what-are-bridge-books-guide-for-parents-and-teachers
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/bridge-books-for-early-readers,/blog/bridge-books-for-early-readers
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/bridge-books-for-kids-mount-everest,/blog/bridge-books-for-kids-mount-everest
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/best-bridge-books-for-kids,/blog/best-bridge-books-for-kids
page,24,https://staging2.braveheartspublishing.com/,https://staging2.braveheartspublishing.com/books,/books
page,24,https://staging2.braveheartspublishing.com/,https://staging2.braveheartspublishing.com/about,/about
page,24,https://staging2.braveheartspublishing.com/,https://staging2.braveheartspublishing.com/teachers-guide,/teachers-guide
page,116,https://staging2.braveheartspublishing.com/about/,https://staging2.braveheartspublishing.com/books,/books
page,2,https://staging2.braveheartspublishing.com/sample-page/,http://staging2.braveheartspublishing.com/wp-admin/,/wp-admin/
post,84,https://staging2.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures/,https://staging2.braveheartspublishing.com/teachers/#reading-growing,/teachers/#reading-growing
post,56,https://staging2.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap/,https://staging2.braveheartspublishing.com/wp-content/uploads/2026/07/mariana-trench-20-min-guide.pdf,/wp-content/uploads/2026/07/mariana-trench-20-min-guide.pdf
post,56,https://staging2.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap/,https://staging2.braveheartspublishing.com/teachers,/teachers
post,56,https://staging2.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap/,https://staging2.braveheartspublishing.com/teachers/#reading-growing,/teachers/#reading-growing
post,72,https://staging2.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry/,https://staging2.braveheartspublishing.com/teachers/#reading-growing,/teachers/#reading-growing
post,96,https://staging2.braveheartspublishing.com/blog/what-to-read-after-dog-man/,https://staging2.braveheartspublishing.com/teachers/#reading-growing,/teachers/#reading-growing
post,28,https://staging2.braveheartspublishing.com/blog/best-books-for-7-year-olds/,https://staging2.braveheartspublishing.com/teachers/#reading-growing,/teachers/#reading-growing
post,38,https://staging2.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9/,https://staging2.braveheartspublishing.com/wp-content/uploads/2026/07/mariana-trench-20-min-guide.pdf,/wp-content/uploads/2026/07/mariana-trench-20-min-guide.pdf
post,38,https://staging2.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9/,https://staging2.braveheartspublishing.com/teachers/#reading-growing,/teachers/#reading-growing
post,46,https://staging2.braveheartspublishing.com/blog/books-like-magic-tree-house/,https://staging2.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books,/blog/gap-between-picture-books-and-chapter-books
post,46,https://staging2.braveheartspublishing.com/blog/books-like-magic-tree-house/,https://staging2.braveheartspublishing.com/blog?tag=bridge books for struggling readers,/blog?tag=bridge books for struggling readers
