url,object_type,object_id,title,slug,status,canonical,indexable,sitemap_source,notes
https://www.braveheartspublishing.com/blog,page,,"Bridge Books, Reading Tips & Kids Adventure Books | Brave Hearts Publishing Blog — Brave Hearts Publishing",blog,published,https://www.braveheartspublishing.com/blog,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures,post,,Best Science Books for Kids That Feel Like Real Adventures — Brave Hearts Publishing,science-books-for-kids-that-feel-like-adventures,published,https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap,post,,From Dog Man to Magic Tree House: The Reading Roadmap — Brave Hearts Publishing,dog-man-to-magic-tree-house-reading-roadmap,published,https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry,post,,Adventures of Charlotte & Henry Gets a Kirkus GET IT Review — Brave Hearts Publishing,kirkus-review-adventures-of-charlotte-and-henry,published,https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man,post,,What to Read After Dog Man: Bridge Books for Kids — Brave Hearts Publishing,what-to-read-after-dog-man,published,https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds,post,,Best Books for 7 Year Olds That Turn Kids Into Readers — Brave Hearts Publishing,best-books-for-7-year-olds,published,https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9,post,,Best Summer Reading Books for Kids Ages 6–9 — Brave Hearts Publishing,best-summer-reading-books-for-kids-ages-6-9,published,https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/books-like-magic-tree-house,post,,8 Books Like Magic Tree House Your Kids Will Love Just as Much Page — Brave Hearts Publishing,books-like-magic-tree-house,published,https://www.braveheartspublishing.com/blog/books-like-magic-tree-house,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books,post,,The Gap Between Picture Books and Chapter Books Is Real — Here's What Goes There — Brave Hearts Publishing,gap-between-picture-books-and-chapter-books,published,https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/why-i-wrote-this-book,post,,Charlotte Is Real. Henry Is Real. And This Is Why I Wrote Them a Book. — Brave Hearts Publishing,why-i-wrote-this-book,published,https://www.braveheartspublishing.com/blog/why-i-wrote-this-book,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score,post,,I Spent Two Years Picking the Wrong Books. One Number Changed That. — Brave Hearts Publishing,finding-right-books-with-lexile-score,published,https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
https://www.braveheartspublishing.com/blog/mount-everest-facts-for-kids,post,,10 Mount Everest Facts for Kids That Will Make Their Jaw Drop | Ages 6–9 — Brave Hearts Publishing,mount-everest-facts-for-kids,published,https://www.braveheartspublishing.com/blog/mount-everest-facts-for-kids,yes,https://www.braveheartspublishing.com/sitemap.xml,Squarespace sitemap inventory
