old_url,new_url,redirect_type,reason,review_status
/blog/science-books-for-kids-that-feel-like-adventures/,/science-books-for-kids-that-feel-like-adventures/,301,same slug and compatible object intent,review_required
/blog/dog-man-to-magic-tree-house-reading-roadmap/,/dog-man-to-magic-tree-house-reading-roadmap/,301,same slug and compatible object intent,review_required
/blog/kirkus-review-adventures-of-charlotte-and-henry/,/kirkus-review-adventures-of-charlotte-and-henry/,301,same slug and compatible object intent,review_required
/blog/what-to-read-after-dog-man/,/what-to-read-after-dog-man/,301,same slug and compatible object intent,review_required
/blog/best-books-for-7-year-olds/,/best-books-for-7-year-olds/,301,same slug and compatible object intent,review_required
/blog/best-summer-reading-books-for-kids-ages-6-9/,/best-summer-reading-books-for-kids-ages-6-9/,301,same slug and compatible object intent,review_required
/blog/books-like-magic-tree-house/,/books-like-magic-tree-house/,301,same slug and compatible object intent,review_required
/blog/gap-between-picture-books-and-chapter-books/,/gap-between-picture-books-and-chapter-books/,301,same slug and compatible object intent,review_required
/blog/why-i-wrote-this-book/,/why-i-wrote-this-book/,301,same slug and compatible object intent,review_required
/blog/finding-right-books-with-lexile-score/,/finding-right-books-with-lexile-score/,301,same slug and compatible object intent,review_required
/blog/mount-everest-facts-for-kids/,/mount-everest-facts-for-kids/,301,same slug and compatible object intent,review_required
/blog/bridge-books-for-struggling-readers/,/bridge-books-for-struggling-readers/,301,same slug and compatible object intent,review_required
/blog/my-child-hates-reading-what-to-do/,/my-child-hates-reading-what-to-do/,301,same slug and compatible object intent,review_required
/blog/how-to-pick-a-read-aloud-book/,/how-to-pick-a-read-aloud-book/,301,same slug and compatible object intent,review_required
/blog/reading-level-by-grade-chart/,/reading-level-by-grade-chart/,301,same slug and compatible object intent,review_required
/blog/what-is-the-mariana-trench-for-kids/,/what-is-the-mariana-trench-for-kids/,301,same slug and compatible object intent,review_required
/blog/best-read-aloud-books-for-classroom-grades-1-3/,/best-read-aloud-books-for-classroom-grades-1-3/,301,same slug and compatible object intent,review_required
/blog/my-child-got-a-lexile-score-now-what/,/my-child-got-a-lexile-score-now-what/,301,same slug and compatible object intent,review_required
/blog/teacher-appreciation-week-thank-you/,/teacher-appreciation-week-thank-you/,301,same slug and compatible object intent,review_required
/blog/what-is-a-lexile-score/,/what-is-a-lexile-score/,301,same slug and compatible object intent,review_required
/blog/top-bridge-books-for-kids/,/top-bridge-books-for-kids/,301,same slug and compatible object intent,review_required
/blog/bridge-books-for-kids/,/bridge-books-for-kids/,301,same slug and compatible object intent,review_required
/blog/best-ocean-books-for-kids-ages-6-9/,/best-ocean-books-for-kids-ages-6-9/,301,same slug and compatible object intent,review_required
/blog/mariana-trench-facts-for-kids/,/mariana-trench-facts-for-kids/,301,same slug and compatible object intent,review_required
/blog/what-are-bridge-books-guide-for-parents-and-teachers/,/what-are-bridge-books-guide-for-parents-and-teachers/,301,same slug and compatible object intent,review_required
/blog/bridge-books-for-early-readers/,/bridge-books-for-early-readers/,301,same slug and compatible object intent,review_required
/blog/bridge-books-for-kids-mount-everest/,/bridge-books-for-kids-mount-everest/,301,same slug and compatible object intent,review_required
/blog/best-early-chapter-books-for-6-year-olds/,/best-early-chapter-books-for-6-year-olds/,301,same slug and compatible object intent,review_required
/blog/free-teachers-guide-mariana-trench/,/free-teachers-guide-mariana-trench/,301,same slug and compatible object intent,review_required
/blog/first-real-chapter-book-for-kids/,/first-real-chapter-book-for-kids/,301,same slug and compatible object intent,review_required
/blog/best-bridge-books-for-kids/,/best-bridge-books-for-kids/,301,same slug and compatible object intent,review_required
/blog/how-deep-is-the-mariana-trench-for-kids/,/how-deep-is-the-mariana-trench-for-kids/,301,same slug and compatible object intent,review_required
/blog/adventure-books-for-kids-ages-6-9/,/adventure-books-for-kids-ages-6-9/,301,same slug and compatible object intent,review_required
/blog/how-stories-build-resilience-in-children/,/how-stories-build-resilience-in-children/,301,same slug and compatible object intent,review_required
/blog/why-stem-storytelling-builds-braver-kids/,/why-stem-storytelling-builds-braver-kids/,301,same slug and compatible object intent,review_required
/home/,/,301,same slug and compatible object intent,review_required
